Order ID,Product,Quantity Ordered,Price Each,Date,Time,Weekday,Purchase Address,Street Address,City,State
299163,20in Monitor,1,109.99,12/1/2019,8:06,Sunday,"485 River St, Austin, TX, 73301",485 River St,Austin,TX
311360,20in Monitor,1,109.99,12/1/2019,12:00,Sunday,"771 Jackson St, Boston, MA, 02215",771 Jackson St,Boston,MA
314543,20in Monitor,1,109.99,12/1/2019,13:24,Sunday,"998 Hickory St, San Francisco, CA, 94016",998 Hickory St,San Francisco,CA
315182,20in Monitor,1,109.99,12/1/2019,13:33,Sunday,"291 Pine St, San Francisco, CA, 94016",291 Pine St,San Francisco,CA
313439,20in Monitor,1,109.99,12/1/2019,13:42,Sunday,"554 Sunset St, Los Angeles, CA, 90001",554 Sunset St,Los Angeles,CA
303408,20in Monitor,1,109.99,12/1/2019,15:13,Sunday,"468 Madison St, Atlanta, GA, 30301",468 Madison St,Atlanta,GA
307860,20in Monitor,1,109.99,12/1/2019,16:03,Sunday,"198 Lakeview St, San Francisco, CA, 94016",198 Lakeview St,San Francisco,CA
309622,20in Monitor,1,109.99,12/1/2019,18:19,Sunday,"673 Johnson St, Dallas, TX, 75001",673 Johnson St,Dallas,TX
300205,20in Monitor,1,109.99,12/1/2019,19:39,Sunday,"944 Lakeview St, Los Angeles, CA, 90001",944 Lakeview St,Los Angeles,CA
299285,20in Monitor,1,109.99,12/1/2019,20:13,Sunday,"640 11th St, Los Angeles, CA, 90001",640 11th St,Los Angeles,CA
309351,20in Monitor,1,109.99,12/1/2019,20:55,Sunday,"690 1st St, Dallas, TX, 75001",690 1st St,Dallas,TX
313984,20in Monitor,1,109.99,12/2/2019,0:09,Monday,"470 Jefferson St, San Francisco, CA, 94016",470 Jefferson St,San Francisco,CA
300871,20in Monitor,1,109.99,12/2/2019,10:22,Monday,"438 Johnson St, Los Angeles, CA, 90001",438 Johnson St,Los Angeles,CA
309549,20in Monitor,1,109.99,12/2/2019,11:53,Monday,"568 14th St, San Francisco, CA, 94016",568 14th St,San Francisco,CA
309806,20in Monitor,1,109.99,12/2/2019,12:34,Monday,"889 Lakeview St, New York City, NY, 10001",889 Lakeview St,New York City,NY
300228,20in Monitor,1,109.99,12/2/2019,13:53,Monday,"692 Johnson St, Boston, MA, 02215",692 Johnson St,Boston,MA
315438,20in Monitor,1,109.99,12/2/2019,13:56,Monday,"394 13th St, New York City, NY, 10001",394 13th St,New York City,NY
298612,20in Monitor,1,109.99,12/2/2019,15:19,Monday,"969 7th St, Seattle, WA, 98101",969 7th St,Seattle,WA
311492,20in Monitor,1,109.99,12/2/2019,15:52,Monday,"363 Madison St, Dallas, TX, 75001",363 Madison St,Dallas,TX
312733,20in Monitor,1,109.99,12/2/2019,16:17,Monday,"330 13th St, Boston, MA, 02215",330 13th St,Boston,MA
300068,20in Monitor,1,109.99,12/2/2019,17:47,Monday,"722 Cedar St, Los Angeles, CA, 90001",722 Cedar St,Los Angeles,CA
306814,20in Monitor,1,109.99,12/2/2019,18:53,Monday,"152 Ridge St, San Francisco, CA, 94016",152 Ridge St,San Francisco,CA
319393,20in Monitor,1,109.99,12/2/2019,19:03,Monday,"832 Main St, Los Angeles, CA, 90001",832 Main St,Los Angeles,CA
297349,20in Monitor,1,109.99,12/2/2019,19:29,Monday,"165 River St, San Francisco, CA, 94016",165 River St,San Francisco,CA
297089,20in Monitor,1,109.99,12/2/2019,19:56,Monday,"888 Wilson St, Los Angeles, CA, 90001",888 Wilson St,Los Angeles,CA
296690,20in Monitor,1,109.99,12/2/2019,19:58,Monday,"500 Maple St, Los Angeles, CA, 90001",500 Maple St,Los Angeles,CA
307650,20in Monitor,1,109.99,12/2/2019,20:15,Monday,"871 6th St, Atlanta, GA, 30301",871 6th St,Atlanta,GA
296132,20in Monitor,1,109.99,12/2/2019,20:21,Monday,"219 Jefferson St, Portland, OR, 97035",219 Jefferson St,Portland,OR
296356,20in Monitor,1,109.99,12/2/2019,23:34,Monday,"61 Maple St, Portland, ME, 04101",61 Maple St,Portland,ME
303653,20in Monitor,1,109.99,12/3/2019,9:18,Tuesday,"72 Madison St, Los Angeles, CA, 90001",72 Madison St,Los Angeles,CA
298219,20in Monitor,1,109.99,12/3/2019,9:34,Tuesday,"118 11th St, Los Angeles, CA, 90001",118 11th St,Los Angeles,CA
303590,20in Monitor,1,109.99,12/3/2019,10:45,Tuesday,"769 Willow St, Seattle, WA, 98101",769 Willow St,Seattle,WA
299069,20in Monitor,1,109.99,12/3/2019,11:11,Tuesday,"912 Hill St, New York City, NY, 10001",912 Hill St,New York City,NY
318315,20in Monitor,1,109.99,12/3/2019,13:32,Tuesday,"759 6th St, New York City, NY, 10001",759 6th St,New York City,NY
317986,20in Monitor,1,109.99,12/3/2019,13:48,Tuesday,"920 7th St, Portland, ME, 04101",920 7th St,Portland,ME
298842,20in Monitor,1,109.99,12/3/2019,13:54,Tuesday,"319 Ridge St, San Francisco, CA, 94016",319 Ridge St,San Francisco,CA
313325,20in Monitor,1,109.99,12/3/2019,15:57,Tuesday,"576 South St, Portland, OR, 97035",576 South St,Portland,OR
302677,20in Monitor,1,109.99,12/3/2019,17:21,Tuesday,"198 Ridge St, Seattle, WA, 98101",198 Ridge St,Seattle,WA
304466,20in Monitor,1,109.99,12/3/2019,19:18,Tuesday,"716 Center St, Boston, MA, 02215",716 Center St,Boston,MA
307329,20in Monitor,1,109.99,12/3/2019,22:27,Tuesday,"807 Forest St, Los Angeles, CA, 90001",807 Forest St,Los Angeles,CA
295716,20in Monitor,1,109.99,12/3/2019,23:28,Tuesday,"593 9th St, Los Angeles, CA, 90001",593 9th St,Los Angeles,CA
302472,20in Monitor,1,109.99,12/4/2019,7:08,Wednesday,"268 4th St, New York City, NY, 10001",268 4th St,New York City,NY
314877,20in Monitor,1,109.99,12/4/2019,8:29,Wednesday,"983 Wilson St, San Francisco, CA, 94016",983 Wilson St,San Francisco,CA
310314,20in Monitor,1,109.99,12/4/2019,10:46,Wednesday,"990 11th St, Austin, TX, 73301",990 11th St,Austin,TX
302144,20in Monitor,1,109.99,12/4/2019,11:17,Wednesday,"782 Adams St, Los Angeles, CA, 90001",782 Adams St,Los Angeles,CA
306813,20in Monitor,1,109.99,12/4/2019,12:25,Wednesday,"557 Madison St, San Francisco, CA, 94016",557 Madison St,San Francisco,CA
302996,20in Monitor,1,109.99,12/4/2019,15:05,Wednesday,"178 Ridge St, Seattle, WA, 98101",178 Ridge St,Seattle,WA
307788,20in Monitor,1,109.99,12/4/2019,17:25,Wednesday,"137 Lakeview St, Boston, MA, 02215",137 Lakeview St,Boston,MA
315655,20in Monitor,1,109.99,12/4/2019,17:29,Wednesday,"444 Johnson St, New York City, NY, 10001",444 Johnson St,New York City,NY
314131,20in Monitor,1,109.99,12/4/2019,18:50,Wednesday,"497 9th St, San Francisco, CA, 94016",497 9th St,San Francisco,CA
311910,20in Monitor,1,109.99,12/4/2019,19:07,Wednesday,"413 Main St, Dallas, TX, 75001",413 Main St,Dallas,TX
302042,20in Monitor,1,109.99,12/4/2019,19:10,Wednesday,"667 West St, New York City, NY, 10001",667 West St,New York City,NY
308228,20in Monitor,1,109.99,12/4/2019,19:53,Wednesday,"71 Walnut St, San Francisco, CA, 94016",71 Walnut St,San Francisco,CA
318937,20in Monitor,1,109.99,12/4/2019,20:59,Wednesday,"907 Wilson St, Seattle, WA, 98101",907 Wilson St,Seattle,WA
297874,20in Monitor,1,109.99,12/4/2019,21:10,Wednesday,"311 10th St, Los Angeles, CA, 90001",311 10th St,Los Angeles,CA
313092,20in Monitor,1,109.99,12/4/2019,22:53,Wednesday,"974 Walnut St, Dallas, TX, 75001",974 Walnut St,Dallas,TX
319428,20in Monitor,1,109.99,12/5/2019,2:03,Thursday,"373 Hill St, Los Angeles, CA, 90001",373 Hill St,Los Angeles,CA
313012,20in Monitor,1,109.99,12/5/2019,3:34,Thursday,"700 Hickory St, New York City, NY, 10001",700 Hickory St,New York City,NY
317340,20in Monitor,1,109.99,12/5/2019,9:24,Thursday,"752 2nd St, Los Angeles, CA, 90001",752 2nd St,Los Angeles,CA
